DEBUG - 2022-06-06 19:23:41.035; com.test.dboperations.HSQLJDBCUtils; Connected to HSQL Database
DEBUG - 2022-06-06 19:23:41.156; com.test.dboperations.HSQLJDBCUtils; Connected to HSQL Database
DEBUG - 2022-06-06 19:23:41.164; com.test.dboperations.HSQLDBCreateTable; Table is created/already exists
INFO  - 2022-06-06 19:23:41.177; com.test.fileoperations.FileParser; File Parsing Started for File: E:\Learning\Java\Workspaces\Workspace2\coding_challenge//src//test//resources//TestData//logfile3.txt
INFO  - 2022-06-06 19:23:41.296; com.test.fileoperations.FileParser; File Parsing Completed for File: E:\Learning\Java\Workspaces\Workspace2\coding_challenge//src//test//resources//TestData//logfile3.txt
DEBUG - 2022-06-06 19:25:44.813; com.test.dboperations.HSQLJDBCUtils; Connected to HSQL Database
DEBUG - 2022-06-06 19:25:44.938; com.test.dboperations.HSQLJDBCUtils; Connected to HSQL Database
DEBUG - 2022-06-06 19:25:44.946; com.test.dboperations.HSQLDBCreateTable; Table is created/already exists
INFO  - 2022-06-06 19:25:44.961; com.test.fileoperations.FileParser; File Parsing Started for File: E:\Learning\Java\Workspaces\Workspace2\coding_challenge//src//test//resources//TestData//logfile3.txt
INFO  - 2022-06-06 19:25:45.037; com.test.fileoperations.FileParser; File Parsing Completed for File: E:\Learning\Java\Workspaces\Workspace2\coding_challenge//src//test//resources//TestData//logfile3.txt
INFO  - 2022-06-06 19:25:45.087; com.test.dataprocessing.DataProcessor; Processing the Json Objects with THREAD Count of: 10
